Player,PER
Dragan Tarlac,5.6
Draymond Green,19.3
Drazen Petrovic*,17.3
Drew Barry,10.7
Drew Gooden,19.7
Drew Gordon,3.7
Duane Causwell,14.2
Duane Cooper,7.9
Duane Ferrell,15.6
Duane Klueh,
Duane Washington,16.1
Duck Williams,8.6
Dudley Bradley,13.7
Duje Dukan,4.2
Dwayne Jones,11.1
Dwayne McClain,8.3
Dwayne Morton,11.0
Dwayne Polee,-11.4
Dwayne Schintzius,12.5
Dwayne Whitfield,9.3
Dwight Anderson,10.6
Dwight Buycks,13.1
Dwight Davis,13.6
Dwight Howard,26.1
Dwight Jones,15.0
Dwight Powell,34.9
Dwight Waller,2.3
Dwyane Wade,30.4
Dyron Nix,8.2
E'Twaun Moore,12.1
E.C. Coleman,11.3
Earl Barron,17.3
Earl Boykins,44.0
Earl Clark,13.5
Earl Cureton,13.8
Earl Dodd,
Earl Evans,10.3
Earl Jones,2.0
Earl Lloyd*,12.4
Earl Monroe*,19.3
Earl Tatum,16.5
Earl Watson,17.3
Earl Williams,15.3
Earnie Killum,-5.3
Easy Parham,
Ed Bartels,
Ed Beach,
Ed Biedenbach,2.7
Ed Burton,12.6
Ed Conlin,15.8
Ed Dahler,10.3
Ed Davis,20.0
Ed Earle,15.0
Ed Fleming,16.4
Ed Gayda,
Ed Gray,13.0
Ed Horton,14.5
Ed Kalafat,12.6
Ed Leede,
Ed Macauley*,24.3
Ed Manning,12.3
Ed Mikan,12.6
Ed Nealy,12.9
Ed O'Bannon,10.2
Ed Peterson,
Ed Pinckney,17.7
Ed Rains,8.2
Ed Ratleff,14.9
Ed Sadowski,
Ed Searcy,5.6
Ed Sherod,11.4
Ed Smith,8.5
Ed Stanczak,
Ed Stokes,6.4
Eddie Basden,10.3
Eddie Gill,15.5
Eddie Griffin,15.9
Eddie House,16.3
Eddie Hughes,11.4
Eddie Johnson,19.4
Eddie Jones,19.9
Eddie Jordan,16.6
Eddie Lee,21.2
Eddie Mast,10.7
Eddie Miles,16.6
Eddie Miller,21.3
Eddie Owens,8.8
Eddie Phillips,7.5
Eddie Robinson,17.9
Eddy Curry,17.5
Edgar Jones,17.6
Edmund Lawrence,19.4
Eduardo Najera,14.8
Edwin Ubiles,7.3
Edy Tavares,22.6
Efthimi Rentzias,10.6
Ekpe Udoh,14.3
Elden Campbell,19.5
Eldridge Recasner,15.3
Elfrid Payton,17.2
Elgin Baylor*,28.2
Elias Harris,7.6
Elijah Millsap,7.9
Elliot Perry,27.3
Elliot Williams,18.8
Elmer Behnke,7.8
Elmer Bennett,32.5
Elmer Gainer,
Elmore Smith,19.9
Elmore Spencer,10.7
Elston Turner,10.9
Elton Brand,26.5
Elvin Hayes*,19.8
Em Bryant,13.1
Emanual Davis,11.8
Emeka Okafor,20.1
Emmanuel Mudiay,10.9
Enes Kanter,24.9
Ennis Whatley,17.8
Eric Anderson,15.2
Eric Bledsoe,20.6
Eric Dawson,14.6
Eric Fernsten,15.0
Eric Gordon,19.2
Eric Johnson,4.6
Eric Leckner,12.2
Eric Maynor,12.3
Eric McWilliams,5.9
Eric Mobley,14.3
Eric Money,16.3
Eric Montross,12.1
Eric Moreland,40.8
Eric Murdock,20.3
Eric Piatkowski,18.2
Eric Riley,14.7
Eric Snow,15.6
Eric Washington,9.6
Eric White,15.2
Eric Williams,17.0
Erick Barkley,10.3
Erick Dampier,20.1
Erick Green,14.7
Erick Strickland,18.0
Erik Daniels,4.6
Erik Murphy,0.2
Ernest Brown,-9.7
Ernie Barrett,11.2
Ernie Beck,13.6
Ernie DiGregorio,13.6
Ernie Grunfeld,17.2
Ernie Vandeweghe,18.8
Ersan Ilyasova,20.5
Ervin Johnson,16.1
Erwin Mueller,13.3
Essie Hollis,11.8
Esteban Batista,12.5
Etan Thomas,16.4
Etdrick Bohannon,22.4
Eugene Jeter,11.1
Evan Eschmeyer,11.8
Evan Fournier,14.6
Evan Turner,13.6
Everette Stephens,44.3
Evers Burns,9.7
Evric Gray,2.8
Fab Melo,4.9
Fabricio Oberto,13.8
Fat Lever,20.8
Fatty Taylor,11.1
Felipe Lopez,13.9
Felton Spencer,17.1
Fennis Dembo,7.8
Fernando Martin,-0.9
Festus Ezeli,17.7
Floyd Volker,
Flynn Robinson,20.8
Foots Walker,16.0
Forest Able,-41.1
Forrest McKenzie,-2.2
Fran Curran,
Francisco Elson,11.2
Francisco Garcia,15.1
Frank Brickowski,17.0
Frank Gates,
Frank Johnson,15.0
Frank Kaminsky,13.0
Frank Kendrick,20.3
Frank Kornet,6.2
Frank Kudelka,14.2
Frank Oleynick,10.9
Frank Radovich,9.8
Frank Ramsey*,19.5
Frank Reddout,42.5
Frank Russell,14.5
Frank Schade,5.8
Frank Selvy,14.4
Frank Williams,10.7
Frankie Brian,15.7
Frankie King,15.0
Frankie Sanders,16.4
Franklin Edwards,18.7
Fred Brown,20.4
Fred Carter,15.9
Fred Christ,16.7
Fred Cofield,7.9
Fred Diute,-2.3
Fred Foster,12.4
Fred Hetzel,15.8
Fred Hilton,11.4
Fred Hoiberg,16.7
Fred Jones,13.3
Fred LaCour,13.8
Fred Roberts,15.5
Fred Saunders,13.2
Fred Schaus,16.5
Fred Scolari,16.1
Fred Taylor,10.9
Fred VanVleet,10.5
Fred Vinson,1.0
Freddie Boyd,12.6
Freddie Crawford,14.6
Freddie Lewis,11.3
Freeman Williams,20.2
Furkan Aldemir,12.0
Gabe Pruitt,8.3
Gail Goodrich*,20.1
Gal Mekel,5.4
Gani Lawal,-9.1
Gar Heard,17.0
Garfield Smith,8.9
Garret Siler,13.5
Garrett Temple,15.4
Garry Witts,9.5
Garth Joseph,11.3
Gary Alcorn,7.6
Gary Alexander,10.7
Gary Bergen,4.7
Gary Bradds,18.0
Gary Brokaw,16.3
Gary Forbes,13.3
Gary Freeman,15.4
Gary Garland,10.2
Gary Grant,22.8
Gary Gray,5.4
Gary Gregor,12.7
Gary Harris,16.5
Gary Hill,7.8
Gary Leonard,32.4
Gary Melchionni,13.0
Gary Neal,15.1
Gary Payton,4.5
Gary Payton*,23.6
Gary Phillips,8.7
Gary Plummer,8.6
Gary Suiter,6.0
Gary Trent,20.8
Gary Voce,19.2
Gary Zeller,7.2
Gaylon Nickerson,14.3
Geert Hammink,20.1
Gene Banks,16.7
Gene Berce,
Gene Conley,11.0
Gene Dyker,0.4
Gene Englund,
Gene Guarilia,11.3
Gene James,
Gene Ollrich,
Gene Rhodes,11.2
Gene Short,10.1
Gene Shue,15.9
Gene Stump,
Gene Tormohlen,15.4
Gene Vance,5.9
Gene Wiley,10.4
Geno Carlisle,18.1
Geoff Crompton,11.0
Geoff Huston,14.0
Geoff Petrie,17.4
George Blaney,7.8
George Bon,0.1
George Brown,-7.2
George Carter,21.3
George Dempsey,15.0
George Feigenbaum,2.2
George Gervin*,24.7
George Hill,21.5
George Johnson,17.4
George Kaftan,14.7
George Karl,9.5
George King,16.6
George Lee,77.0
George Lehmann,11.3
George Lynch,16.8
George McCloud,17.0
George McGinnis,21.3
George McLeod,2.9
George Mikan*,28.7
George Nostrand,
George Patterson,7.9
George Ratkovicz,16.4
George Reynolds,18.8
George Senesky,13.3
George Thompson,12.7
George Trapp,15.6
George Wilson,14.5
George Yardley*,23.3
George Zidek,20.3
Georges Niang,0.1
Georgi Glouchkov,5.7
Georgios Papagiannis,12.7
Gerald Brown,7.3
Gerald Fitch,10.2
Gerald Glass,15.9
Gerald Green,76.3
Gerald Henderson,16.4
Gerald Madkins,9.8
Gerald Paddio,16.3
Gerald Wallace,21.3
Gerald Wilkins,16.2
Gerard King,13.6
Gerry Calabrese,9.4
Gerry Ward,8.9
Gheorghe Muresan,21.0
Giannis Antetokounmpo,26.1
Gil McGregor,6.8
Gilbert Arenas,24.0
Glen Davis,15.0
Glen Gondrezick,16.7
Glen Rice,19.7
Glen Selbo,
Glenn Hagan,18.1
Glenn Hansen,15.3
Glenn McDonald,11.0
Glenn Mosley,12.2
Glenn Robinson,20.1
God Shammgod,9.2
Goo Kennedy,7.8
Goran Dragic,21.4
Gordan Giricek,16.4
Gordon Hayward,22.2
Gorgui Dieng,17.2
Grady O'Malley,8.6
Grant Gondrezick,11.8
Grant Hill,25.5
Grant Jerrett,13.6
Grant Long,16.2
Granville Waiters,10.4
Greg Anderson,26.4
Greg Anthony,18.6
Greg Ballard,18.1
Greg Buckner,13.7
Greg Bunch,9.2
Greg Butler,4.7
Greg Deane,4.5
Greg Dreiling,10.5
Greg Fillmore,10.3
Greg Foster,14.7
Greg Graham,13.1
Greg Grant,13.3
Greg Griffin,6.8
Greg Howard,10.8
Greg Hyder,8.7
Greg Jackson,7.6
Greg Kelser,16.1
Greg Kite,7.7
Greg Lee,12.8
Greg Minor,14.7
Greg Monroe,22.0
Greg Oden,23.1
Greg Ostertag,15.3
Greg Smith,16.1
Greg Stiemsma,13.6
Greg Stokes,10.6
Greg Sutton,11.0
Greivis Vasquez,16.3
Guillermo Diaz,9.9
Gundars Vetra,13.6
Gus Bailey,11.9
Gus Gerard,26.3
Gus Johnson*,18.9
Gus Williams,21.8
Gustavo Ayon,16.7
Guy Morgan,9.9
Guy Rodgers*,17.9
Guy Rucker,7.8
Guy Sparrow,12.5
Guy Williams,14.7
Ha Seung-Jin,6.9
Hakeem Olajuwon*,27.3
Hakim Warrick,28.8
Hal Greer*,17.7
Hal Lear,1.0
Hal Uplinger,10.7
Hamady N'Diaye,5.3
Hamed Haddadi,19.7
Hank DeZonie,
Hank Finkel,17.5
Hank McDowell,10.7
Hanno Mottola,8.4
Happy Hairston,20.0
Harold Ellis,18.1
Harold Fox,10.0
Harold Jamison,13.9
Harold Keeling,16.1
Harold Miner,14.3
Harold Pressley,15.7
Harrison Barnes,16.3
Harry Barnes,2.4
Harry Boykoff,
Harry Davis,10.6
Harry Donovan,
Harry Gallatin*,24.1
Harthorne Wingo,14.3
Harvey Catchings,12.1
Harvey Grant,16.5
Harvey Marlatt,9.5
Hasheem Thabeet,16.4
Hassan Adams,13.0
Hassan Whiteside,26.2
Hawkeye Whitney,14.0
Haywoode Workman,26.1
Hedo Turkoglu,17.8
Henry Akin,8.5
Henry Bibby,15.7
Henry Dickerson,8.5
Henry Ellenson,7.5
Henry James,17.4
Henry Sims,29.2
Henry Turner,14.2
Henry Walker,14.9
Henry Ward,10.3
Herb Scherer,3.9
Herb White,8.4
Herb Williams,17.9
Herm Gilliam,16.2
Herm Hedderick,-0.8
Herm Schaefer,
Hersey Hawkins,19.4
Hilton Armstrong,17.0
Hiram Fuller,3.6
Hollis Copeland,11.0
Hollis Thompson,10.9
Hook Dillon,
Hoot Gibson,
Horace Grant,20.6
Horace Jenkins,10.2
Horace Walker,10.2
Horacio Llamas,10.5
Hot Rod,19.0
Howard Carter,12.0
Howard Eisley,14.1
Howard Komives,13.0
Howard Nathan,11.3
Howard Porter,18.3
Howard Wood,12.0
Howard Wright,34.8
Howie Carl,9.4
Howie Janotta,
Howie Jolliff,9.0
Howie Montgomery,9.9
Howie Schultz,8.1
Howie Shannon,
Hub Reed,13.0
Hubert Davis,14.8
Hubie White,6.3
Hutch Jones,13.0
Ian Clark,13.1
Ian Lockhart,76.3
Ian Mahinmi,35.3
Ibo Kutluay,-12.9
Igor Rakocevic,8.4
Ike Borsavage,
Ike Diogu,24.9
Iman Shumpert,11.9
Ime Udoka,12.1
Ira Bowman,16.4
Ira Newble,14.9
Ira Terrell,14.1
Irv Bemoras,12.7
Irv Kiffin,3.7
Irving Thomas,7.3
Isaac Austin,16.8
Isaac Fontaine,-0.9
Isaac Walthour,-5.4
Isaiah Canaan,12.8
Isaiah Morris,10.6
Isaiah Rider,16.3
Isaiah Taylor,0.3
Isaiah Thomas,26.5
Isaiah Whitehead,7.5
Isaiah Wilson,12.6
Ish Smith,16.7
Isiah Thomas*,22.2
Ivan Johnson,15.7
Ivan McFarlin,12.2
Ivano Newbill,7.6
Ivica Zubac,17.0
J.J. Anderson,14.2
J.J. Barea,17.2
J.J. Hickson,20.2
J.J. O'Brien,1.3
J.J. Redick,17.5
J.R. Bremer,12.7
J.R. Giddens,26.0
J.R. Henderson,9.0
J.R. Reid,17.6
J.R. Smith,18.1
JaJuan Johnson,11.4
JaKarr Sampson,9.4
JaMychal Green,15.8
JaVale McGee,25.2
Jabari Brown,11.0
Jabari Parker,19.1
Jabari Smith,17.1
Jack Burmaster,
Jack Coleman,18.2
Jack Cooley,11.4
Jack Cotton,
Jack Foley,17.9
Jack George,13.6
Jack Givens,13.0
Jack Haley,19.6
Jack Kerris,16.1
Jack Kiley,3.7
Jack Marin,18.2
Jack McCloskey,7.8
Jack McMahon,14.9
Jack Molinas,19.2
Jack Nichols,16.8
Jack Parkinson,
Jack Parr,7.9
Jack Phelan,
Jack Sikma,20.6
Jack Smiley,
Jack Stephens,13.3
Jack Toomay,
Jack Turner,10.5
Jack Twyman*,21.3
Jackie Butler,90.3
Jackie Dinkins,13.7
Jackie Moore,11.6
Jackie Moreland,14.5
Jackie Ridgle,13.7
Jackie Robinson,17.1
Jackson Vroman,9.7
Jacky Dorsey,14.4
Jacque Vaughn,13.3
Jae Crowder,15.8
Jahidi White,15.7
Jahlil Okafor,17.1
Jake Bornheimer,
Jake Carter,
Jake Fendley,10.9
Jake Ford,16.2
Jake Jones,9.9
Jake Layman,4.9
Jake Tsakalidis,17.3
Jake Voskuhl,13.9
Jakob Poeltl,12.2
Jalen Rose,18.4
Jamaal Franklin,4.9
Jamaal Magloire,18.8
Jamaal Tinsley,18.6
Jamaal Wilkes*,18.0
Jamal Crawford,18.4
Jamal Mashburn,18.0
Jamal Murray,11.9
Jamal Robinson,-1.9
Jamal Sampson,24.4
Jamario Moon,15.0
Jameer Nelson,20.6
Jamel Thomas,17.7
James Anderson,14.2
James Augustine,16.6
James Bailey,16.0
James Blackwell,14.2
James Collins,15.3
James Cotton,12.5
James Donaldson,16.0
James Edwards,18.2
James Ennis,18.3
James Harden,27.3
James Hardy,11.9
James Johnson,18.5
James Jones,15.4
James Lang,6.6
James Michael,17.7
James Nunnally,6.2
James Phelan,-4.8
James Posey,18.8
James Ray,11.9
James Robinson,12.7
James Scott,-4.1
James Silas,19.4
James Singleton,19.6
James Southerland,17.7
James Thomas,21.8
James White,14.6
James Wilkes,11.8
James Worthy*,20.4
James Young,10.0
JamesOn Curry,
Jamie Feick,16.3
Jamie Waller,7.1
Jamie Watson,11.5
Jamison Brewer,13.4
Jan Van,12.0
Jan Vesely,14.5
Jannero Pargo,18.9
Jared Cunningham,14.8
Jared Dudley,15.6
Jared Jeffries,11.6
Jared Reiner,4.8
Jared Sullinger,17.9
Jarell Eddie,11.0
Jarell Martin,14.0
Jaren Jackson,12.5
Jarnell Stokes,31.5
Jarrett Jack,17.9
Jarrod Uthoff,13.9
Jarron Collins,11.5
Jarvis Hayes,13.0
Jarvis Varnado,13.4
Jason Caffey,14.4
Jason Collier,15.0
Jason Collins,10.7
Jason Hart,16.9
Jason Kapono,13.8
Jason Kidd,22.5
Jason Lawson,21.5
Jason Maxiell,16.7
Jason Miskiri,-12.4
Jason Richardson,19.2
Jason Sasser,14.3
Jason Smith,16.8
Jason Terry,19.3
Jason Thompson,16.4
Jason Williams,17.1
Javaris Crittenton,13.2
Jawad Williams,14.1
Jawann Oldham,14.5
Jay Arnette,8.4
Jay Carty,10.1
Jay Edwards,7.8
Jay Guidinger,10.4
Jay Humphries,17.4
Jay Miller,1.5
Jay Murphy,13.5
Jay Taylor,9.5
Jay Vincent,18.7
Jay Williams,12.2
Jaylen Brown,10.3
Jayson Williams,18.7
Jeff Adrien,18.4
Jeff Ayres,14.5
Jeff Cook,14.4
Jeff Cross,1.5
Jeff Foote,-0.9
Jeff Foster,25.6
Jeff Grayer,13.5
Jeff Green,15.0
Jeff Halliburton,15.0
Jeff Hornacek,19.6
Jeff Judkins,14.5
Jeff Lamp,14.4
Jeff Lebo,5.8
Jeff Malone,18.5
Jeff Martin,10.0
Jeff McInnis,15.6
Jeff Mullins,18.9
Jeff Nordgaard,11.6
Jeff Ruland,20.0
Jeff Sanders,13.8
Jeff Slade,5.8
Jeff Taylor,11.7
Jeff Teague,20.6
Jeff Trepagnier,17.5
Jeff Turner,11.4
Jeff Webb,13.3
Jeff Webster,7.0
Jeff Wilkins,11.6
Jeff Withey,18.8
Jeffery Taylor,10.3
Jeffrey Sheppard,8.7
Jelani McCoy,21.1
Jerald Honeycutt,11.8
Jerami Grant,12.6
Jerel McNeal,1.2
Jeremy Evans,20.5
Jeremy Lamb,17.0
Jeremy Lin,19.9
Jeremy Pargo,11.3
Jeremy Richardson,14.5
Jeremy Tyler,13.0
Jerian Grant,13.1
Jermaine Jackson,12.3
Jermaine O'Neal,22.9
Jermaine Taylor,13.3
Jermareo Davidson,12.3
Jerome Allen,8.9
Jerome Anderson,13.0
Jerome Beasley,5.9
Jerome Dyson,11.3
Jerome Harmon,10.1
Jerome Henderson,37.7
Jerome James,45.3
Jerome Jordan,18.3
Jerome Kersey,18.5
Jerome Lane,19.1
Jerome Moiso,17.0
Jerome Whitehead,16.7
Jerome Williams,18.2
Jerrelle Benimon,4.7
Jerrod Mustaf,13.8
Jerry Baskerville,8.0
Jerry Bird,12.9
Jerry Chambers,13.7
Jerry Eaves,13.0
Jerry Fleishman,13.7
Jerry Fowler,3.8
Jerry Greenspan,15.7
Jerry Grote,14.9
Jerry Harkness,11.9
Jerry Lucas*,20.9
Jerry Nagel,
Jerry Paulson,7.9
Jerry Reynolds,17.8
Jerry Rullo,
Jerry Sichting,13.9
Jerry Sloan*,14.9
Jerry Smith,7.8
Jerry Stackhouse,21.8
Jerry West*,25.0
Jerryd Bayless,17.7
Jeryl Sasser,8.3
Jesse Arnelle,12.6
Jesse Branson,10.3
Jesse Dark,11.0
Jim Ard,11.3
Jim Baechtold,15.3
Jim Barnes,14.0
Jim Barnett,17.0
Jim Bostic,18.9
Jim Brasco,9.7
Jim Brewer,14.9
Jim Brogan,13.4
Jim Browne,
Jim Burns,4.3
Jim Caldwell,0.0
Jim Chones,16.1
Jim Cleamons,14.9
Jim Creighton,5.5
Jim Davis,17.3
Jim Eakins,14.6
Jim Farmer,15.5
Jim Fox,19.5
Jim Fritsche,8.0
Jim Garvin,3.9
Jim Grandholm,16.5
Jim Holstein,11.6
Jim Jackson,18.9
Jim Johnstone,5.6
Jim King,14.6
Jim Krebs,14.2
Jim Lampley,8.3
Jim Les,14.7
Jim Loscutoff,12.7
Jim Luisi,7.6
Jim Marsh,8.6
Jim McDaniels,13.5
Jim McElroy,16.2
Jim McIlvaine,11.1
Jim McMillian,15.6
Jim Mooney,9.5
Jim Neal,9.9
Jim Nolan,
Jim Owens,18.1
Jim Palmer,13.9
Jim Paxson,20.1
Jim Petersen,12.7
Jim Pollard*,16.4
Jim Price,19.7
Jim Ray,1.8
Jim Reid,10.6
Jim Riffey,
Jim Rowinski,18.8
Jim Seminoff,
Jim Slaughter,10.1
Jim Smith,14.2
Jim Spanarkel,17.3
Jim Thomas,13.0
Jim Tucker,11.2
Jim Walsh,5.0
Jim Ware,6.4
Jim Washington,14.7
Jim Zoet,-0.8
Jimmer Fredette,47.4
Jimmy Butler,25.1
Jimmy Carruth,9.7
Jimmy Collins,13.0
Jimmy Darden,
Jimmy Darrow,5.9
Jimmy Jones,13.2
Jimmy King,12.7
Jimmy Oliver,19.7
Jimmy Walker,16.4
Jiri Welsch,12.6
Jo Jo,16.2
Joakim Noah,20.0
Joao Vianna,1.0
Joby Wright,9.2
Jodie Meeks,15.8
Joe Alexander,10.1
Joe Arlauckas,7.9
Joe Barry,20.1
Joe Binion,12.0
Joe Bradley,
Joe Bryant,14.1
Joe Buckhalter,14.5
Joe Caldwell,17.3
Joe Cooke,10.4
Joe Cooper,13.2
Joe Courtney,17.9
Joe Crawford,10.8
Joe Crispin,19.6
Joe Dolhon,
Joe Dumars*,18.0
Joe Ellis,13.6
Joe Fulks*,11.8
Joe Graboski,17.3
Joe Harris,9.0
Joe Hassett,16.0
Joe Holland,11.5
Joe Holup,12.7
Joe Hutton,8.0
Joe Ingles,12.4
Joe Johnson,19.5
Joe Kennedy,9.1
Joe Kleine,13.5
Joe Kopicki,15.3
Joe McNamee,
Joe Meriweather,14.5
Joe Mullaney,
Joe Pace,16.5
Joe Reaves,10.8
Joe Roberts,10.3
Joe Ruklick,13.3
Joe Smith,17.2
Joe Smyth,12.5
Joe Stephens,17.7
Joe Strawder,12.3
Joe Thomas,4.3
Joe Wolf,12.9
Joe Young,11.4
Joel Anthony,14.7
Joel Bolomboy,19.7
Joel Embiid,24.1
Joel Freeland,12.2
Joel Kramer,11.8
Joel Przybilla,15.5
Joey Dorsey,16.1
Joey Graham,12.9
Joffrey Lauvergne,15.7
Johan Petro,11.6
John Amaechi,13.2
John Arthurs,11.3
John Bagley,16.0
John Barber,4.2
John Barnhill,11.8
John Battle,16.4
John Block,17.6
John Brisker,17.3
John Brown,13.9
John Celestand,2.7
John Chaney,
John Coker,37.3
John Coughran,6.0
John Crotty,37.0
John Douglas,12.1
John Drew,25.3
John Duren,8.2
John Edwards,6.4
John Fairchild,3.9
John Garris,18.5
John Gianelli,13.0
John Greig,19.9
John Hargis,
John Havlicek*,20.8
John Henson,18.6
John Hummer,12.2
John Jenkins,17.3
John Johnson,16.8
John Kuester,12.2
John Lambert,24.5
John Laskowski,11.3
John Logan,
John Long,17.4
John Lucas,19.4
John Mahnken,10.8
John Mandic,
John McConathy,1.7
John McCullough,30.7
John Mengelt,19.4
John Morton,12.2
John O'Boyle,3.4
John Oldham,
John Olive,2.0
John Paxson,14.0
John Pilch,-2.6
John Pinone,7.8
John Pritchard,
John Rennicke,-1.3
John Richter,8.1
John Roche,13.9
John Rudd,8.2
John Rudometkin,16.5
John Salley,14.7
John Salmons,17.6
John Schweitz,5.8
John Shasky,12.7
John Shumate,19.0
John Starks,16.4
John Stockton*,23.9
John Stroeder,18.4
John Stroud,6.4
John Thomas,13.7
John Thompson*,14.8
John Trapp,12.4
John Tresvant,22.7
John Tschogl,7.8
John Turner,7.8
John Vallely,12.8
John Wall,23.2
John Wallace,15.9
John Warren,14.0
John Wetzel,12.2
John Williams,18.8
John Williamson,18.5
John Windsor,12.5
Johnny Austin,5.7
Johnny Baum,13.4
Johnny Cox,10.3
Johnny Davis,16.8
Johnny Dawkins,22.8
Johnny Egan,15.4
Johnny Ezersky,
Johnny Green,19.7
Johnny High,10.8
Johnny Horan,2.3
Johnny Jones,9.0
Johnny Macknowski,
Johnny McCarthy,10.5
Johnny Moore,18.3
Johnny Neumann,19.8
Johnny Newman,16.9
Johnny Norlander,
Johnny O'Bryant,15.5
Johnny Orr,
Johnny Payak,11.9
Johnny Rogers,10.5
Johnny Taylor,9.9
Jon Barry,17.9
Jon Brockman,12.4
Jon Koncak,13.0
Jon Leuer,17.6
Jon McGlocklin,16.7
Jon Sundvold,14.5
Jonas Jerebko,15.7
Jonas Valanciunas,22.6
Jonathan Bender,26.4
Jonathan Gibson,9.5
Jonathan Kerner,-15.2
Jonathon Simmons,11.9
Jonny Flynn,13.0
Jordan Adams,17.3
Jordan Clarkson,16.9
Jordan Crawford,17.6
Jordan Farmar,17.4
Jordan Hamilton,16.9
Jordan Hill,19.3
Jordan McRae,14.2
Jordan Mickey,15.3
Jordan Williams,14.5
Jorge Garbajosa,12.1
Jorge Gutierrez,19.1
Jose Calderon,20.5
Jose Ortiz,16.0
Jose Slaughter,10.5
Joseph Forte,3.4
Josh Akognon,15.3
Josh Boone,14.8
Josh Childress,17.8
Josh Davis,33.7
Josh Grant,11.7
Josh Harrellson,13.7
Josh Howard,20.0
Josh Huestis,26.1
Josh McRoberts,20.3
Josh Powell,12.0
Josh Richardson,11.4
Josh Selby,3.3
Josh Smith,21.1
Jrue Holiday,19.7
Juan Carlos,11.9
Juan Dixon,15.2
Juan Hernangomez,13.3
Juaquin Hawkins,7.3
Jud Buechler,14.9
Julian Wright,15.4
Julius Erving*,25.9
Julius Hodge,16.0
Julius Nwosu,6.8
Julius Randle,16.3
Julyan Stone,13.0
Jumaine Jones,14.2
Junior Bridgeman,18.8
Junior Burrough,9.0
Junior Harrington,8.9
Justin Anderson,14.7
Justin Dentmon,5.7
Justin Hamilton,18.0
Justin Harper,6.9
Justin Holiday,12.7
Justin Reed,13.7
Justin Williams,17.3
Justise Winslow,8.4
Justus Thigpen,20.6
Jusuf Nurkic,21.1
Juwan Howard,17.2
K.C. Jones*,12.6
K.J. McDaniels,12.5
Kalin Lucas,-0.7
Kaniel Dickens,23.1
Kannard Johnson,-4.6
Kareem Abdul-Jabbar*,29.9
Kareem Rush,11.0
Karl Malone*,28.9
Karl-Anthony Towns,26.0
Kasib Powell,9.0
Kawhi Leonard,27.5
Kay Felder,11.2
Kebu Stewart,14.0
Kedrick Brown,13.0
Keith Appling,-4.8
Keith Askins,13.5
Keith Benson,6.0
Keith Bogans,12.5
Keith Booth,13.8
Keith Closs,17.5
Keith Edmonson,16.2
Keith Erickson,15.3
Keith Herron,13.4
Keith Jennings,18.5
Keith Langford,-2.4
Keith Lee,13.8
Keith McCord,7.9
Keith McLeod,12.3
Keith Owens,10.3
Keith Smart,0.0
Keith Smith,6.0
Keith Starr,3.7
Keith Tower,7.5
Keith Van,19.6
Kelenna Azubuike,19.8
Kelly McCarty,31.7
Kelly Olynyk,16.3
Kelly Oubre,9.1
Kelly Tripucka,19.8
Kelvin Cato,15.9
Kelvin Ransey,16.5
Kelvin Upshaw,17.2
Kemba Walker,21.3
Ken Austin,5.6
Ken Bannister,17.9
Ken Boyd,25.3
Ken Charles,12.5
Ken Durrett,13.0
Ken Green,19.3
Ken Johnson,9.3
Ken Mayfield,7.3
Ken McBride,7.9
Ken Menke,
Ken Murray,7.9
Ken Norman,16.4
Ken Rohloff,-9.6
Ken Wilburn,16.2
Kendall Gill,19.6
Kendall Marshall,12.6
Kendrick Perkins,22.8
Kennard Winchester,21.4
Kenneth Faried,21.9
Kenny Anderson,20.4
Kenny Battle,20.7
Kenny Carr,17.3
Kenny Dennard,11.1
Kenny Fields,16.6
Kenny Gattison,15.3
Kenny Green,11.4
Kenny Higgs,12.4
Kenny McIntosh,16.9
Kenny Natt,9.1
Kenny Payne,14.2
Kenny Rollins,7.9
Kenny Sailors,
Kenny Satterfield,11.5
Kenny Sears,22.6
Kenny Smith,18.3
Kenny Thomas,18.9
Kenny Walker,13.3
Kenny Williams,17.7
Kent Bazemore,13.4
Kent Benson,17.3
Kentavious Caldwell-Pope,12.8
Kenton Edelin,3.3
Kenyon Martin,18.7
Keon Clark,19.2
Kermit Washington,19.3
Kerry Kittles,18.3
Kevin Brooks,10.2
Kevin Burleson,5.1
Kevin Duckworth,14.9
Kevin Durant,29.8
Kevin Edwards,17.1
Kevin Gamble,16.3
Kevin Garnett,29.4
Kevin Grevey,15.5
Kevin Henderson,9.1
Kevin Johnson,23.7
Kevin Jones,11.1
Kevin Kunnert,17.7
Kevin Loder,12.9
Kevin Loughery,15.9
Kevin Love,26.9
Kevin Lynch,7.7
Kevin Martin,21.4
Kevin McHale*,24.0
Kevin McKenna,12.1
Kevin Murphy,-4.5
Kevin O'Shea,13.3
Kevin Ollie,14.3
Kevin Porter,17.2
Kevin Pritchard,25.6
Kevin Restani,13.9
Kevin Salvadori,8.3
Kevin Seraphin,15.8
Kevin Stacom,12.0
Kevin Thompson,4.9
Kevin Williams,12.0
Kevin Willis,19.7
Kevinn Pinkney,11.6
Kevon Looney,18.6
Keyon Dooling,14.1
Khalid El-Amin,12.2
Khalid Reeves,16.9
Khris Middleton,16.8
Kiki Vandeweghe,23.6
Kim Anderson,3.0
Kim English,7.9
Kim Hughes,11.7
Kirk Haston,4.0
Kirk Hinrich,17.0
Kirk Penney,-4.3
Kirk Snyder,14.6
