Player,PER
Ben Wallace,18.6
Ben Warley,16.8
Bennie Swain,12.3
Beno Udrih,16.1
Benoit Benjamin,17.4
Bernard James,16.0
Bernard King*,25.2
Bernard Robinson,16.2
Bernard Thompson,11.8
Bernard Toone,8.9
Bernie Fryer,13.2
Bernie Harris,3.6
Bernie Williams,11.5
Bert Cook,8.5
Bevo Nordmann,13.0
Bill Bolger,10.7
Bill Bradley*,13.8
Bill Bridges,16.8
Bill Buntin,13.3
Bill Calhoun,12.7
Bill Cartwright,19.0
Bill Chamberlain,14.2
Bill Closs,10.4
Bill Curley,12.1
Bill Dinwiddie,10.4
Bill Ebben,1.1
Bill Edwards,-0.4
Bill Gabor,14.6
Bill Garnett,15.0
Bill Hanzlik,15.3
Bill Henry,
Bill Herman,
Bill Hewitt,11.2
Bill Hosket,18.4
Bill Jones,13.9
Bill Laimbeer,19.2
Bill Ligon,11.8
Bill Martin,11.5
Bill Mayfield,6.8
Bill McGill,21.5
Bill Melchionni,11.9
Bill Mlkvy,9.5
Bill Roberts,
Bill Robinzine,16.4
Bill Russell*,22.8
Bill Sharman*,19.8
Bill Smith,5.7
Bill Stricker,45.1
Bill Thieben,12.1
Bill Tosheff,12.5
Bill Turner,12.2
Bill Walton*,24.8
Bill Wennington,16.6
Bill Willoughby,13.8
Bill Zopf,9.6
Billy Cunningham*,21.3
Billy Donovan,8.7
Billy Hassett,
Billy Kenville,16.0
Billy Knight,20.1
Billy McKinney,15.6
Billy Owens,16.9
Billy Paultz,19.8
Billy Ray,24.1
Billy Reid,6.2
Billy Thomas,9.8
Billy Thompson,14.7
Bimbo Coles,14.8
Bingo Smith,16.3
Bird Averitt,11.5
Bismack Biyombo,15.2
Bison Dele,18.1
Blackie Towery,
Blaine Denning,18.9
Blair Rasmussen,16.0
Blake Ahearn,12.9
Blake Griffin,23.9
Blue Edwards,16.4
Bo Ellis,12.2
Bo Erias,8.9
Bo Kimble,9.6
Bo Lamar,12.8
Bo Outlaw,16.3
Bob Allen,6.8
Bob Anderegg,9.3
Bob Armstrong,7.8
Bob Arnzen,14.5
Bob Bigelow,21.4
Bob Boozer,19.9
Bob Brannum,12.4
Bob Brown,
Bob Burrow,13.1
Bob Carney,8.7
Bob Carpenter,
Bob Carrington,12.1
Bob Christian,14.5
Bob Cousy*,21.7
Bob Dandridge,19.1
Bob Davies*,18.5
Bob Davis,-1.0
Bob Doll,
Bob Donham,14.4
Bob Duffy,18.4
Bob Elliott,13.6
Bob Evans,
Bob Feerick,
Bob Ferry,17.0
Bob Greacen,9.0
Bob Gross,16.9
Bob Hansen,12.9
Bob Harris,14.1
Bob Harrison,10.5
Bob Hogsett,12.7
Bob Hopkins,15.1
Bob Houbregs*,22.0
Bob Kauffman,20.9
Bob Kinney,
Bob Knight,11.9
Bob Lanier*,24.8
Bob Lavoy,17.3
Bob Lochmueller,9.0
Bob Love,17.0
Bob Martin,6.9
Bob McAdoo*,25.8
Bob McCann,12.4
Bob McNeill,14.3
Bob Miller,25.0
Bob Naber,-10.4
Bob Nash,16.2
Bob Peterson,25.4
Bob Pettit*,28.2
Bob Portman,16.1
Bob Priddy,7.8
Bob Quick,17.1
Bob Riley,10.9
Bob Royer,
Bob Rule,24.2
Bob Santini,12.7
Bob Schafer,8.4
Bob Sims,9.4
Bob Sura,18.5
Bob Thornton,8.3
Bob Tough,
Bob Verga,13.3
Bob Warlick,13.5
Bob Weiss,15.8
Bob Wiesenhahn,7.5
Bob Wilkerson,12.5
Bob Williams,13.0
Bob Wilson,7.8
Bob Wood,
Boban Marjanovic,29.6
Bobby Brown,11.9
Bobby Cattage,10.5
Bobby Cook,
Bobby Hurley,10.4
Bobby Jackson,19.2
Bobby Jones,21.1
Bobby Lewis,14.4
Bobby Phills,16.8
Bobby Portis,14.9
Bobby Simmons,16.1
Bobby Smith,7.4
Bobby Wanzer*,20.5
Bobby Washington,15.2
Bobby Watson,
Bobby Wilson,20.4
Bojan Bogdanovic,14.7
Bones McKinney,9.4
Boniface N'Dong,11.0
Bonzi Wells,26.3
Boo Ellis,14.1
Boris Diaw,17.3
Boris Nachamkin,12.2
Bostjan Nachbar,14.5
Bracey Wright,13.8
Brad Branson,16.0
Brad Daugherty,23.0
Brad Davis,17.9
Brad Holland,14.3
Brad Lohaus,15.0
Brad Miller,21.2
Brad Sellers,13.7
Brad Wright,11.2
Bradley Beal,20.1
Brady Walker,15.5
Brandan Wright,25.7
Branden Dawson,7.1
Brandin Knight,-1.2
Brandon Armstrong,5.5
Brandon Bass,19.7
Brandon Davies,10.7
Brandon Hunter,12.6
Brandon Ingram,8.5
Brandon Jennings,19.7
Brandon Knight,18.5
Brandon Roy,24.0
Brandon Rush,15.2
Brandon Williams,24.4
Brant Weidner,5.4
Brendan Haywood,18.3
Brendan McCann,8.3
Brent Barry,19.3
Brent Price,17.5
Brent Scott,7.0
Brett Szabo,8.8
Brett Vroman,11.8
Brevin Knight,18.0
Brian Cardinal,19.4
Brian Cook,15.6
Brian Davis,9.2
Brian Evans,12.0
Brian Grant,17.5
Brian Heaney,8.3
Brian Howard,13.0
Brian Martin,3.8
Brian Oliver,9.9
Brian Quinnett,10.1
Brian Roberts,14.6
Brian Rowsom,15.7
Brian Scalabrine,13.5
Brian Shaw,15.5
Brian Skinner,16.5
Brian Taylor,17.6
Brian Winters,16.6
Briante Weber,39.3
Brice Johnson,17.2
Britton Johnsen,2.6
Brook Lopez,25.4
Brook Steppe,13.9
Brooks Thompson,16.9
Bruce Bowen,37.7
Bruce Douglas,5.7
Bruce Flowers,15.2
Bruce Hale,
Bruce Kuczenski,9.4
Bruce Seals,12.3
Bruno Caboclo,14.6
Bruno Sundov,22.4
Bryan Warrick,11.2
Bryant Reeves,17.3
Bryant Stith,14.4
Bryce Cotton,29.1
Bryce Dejean-Jones,9.6
Bryce Drew,12.4
Bryn Forbes,5.9
Bryon Russell,16.4
Bubba Wells,11.1
Bubba Wilson,2.1
Buck Johnson,13.9
Buck Williams,18.6
Bucky Bockhorn,11.3
Bucky McConnell,11.6
Bud Acton,9.5
Bud Grant,
Bud Koper,10.6
Bud Ogden,14.2
Bud Olsen,13.4
Bud Stallworth,12.2
Buddy Hield,14.9
Buddy Jeannette*,
